id,lon,lat,depth_m,mea_ug_kg_orig
14036,14.239167000000002,42.458056,0.0,3686.0
14037,14.239167000000002,42.458056,0.0,4978.8
14038,14.239167000000002,42.458056,0.0,8000.0
14039,14.239167000000002,42.458056,0.0,8000.0
14040,14.200277999999999,42.495833000000005,5.0,1600.0
14041,14.200277999999999,42.495833000000005,5.0,2200.0
14042,14.192222000000001,42.504166999999995,5.0,0.09
14043,14.192222000000001,42.504166999999995,5.0,0.19
14044,14.192222000000001,42.504166999999995,5.0,0.24
14045,16.016667,41.951944,0.0,0.01
14046,16.016667,41.951944,0.0,0.03
14047,12.6925,45.518333,3.0,30.0
14048,12.6925,45.518333,3.0,30.0
14049,12.6925,45.518333,3.0,240.0
14050,12.6925,45.518333,3.0,480.0
14051,12.730278,45.527778000000005,3.0,150.0
14052,12.730278,45.527778000000005,3.0,500.0
14053,12.730278,45.527778000000005,3.0,910.0
14054,12.730278,45.527778000000005,3.0,1500.0
14055,12.730278,45.527778000000005,3.0,1600.0
14056,12.730278,45.527778000000005,3.0,2500.0
14057,12.730278,45.527778000000005,3.0,2800.0
14058,12.730278,45.527778000000005,3.0,2800.0
14059,12.730278,45.527778000000005,3.0,3060.0
